1684270273.914559	"<I>: STANDING = 0, 78"
1684270274.1753118	"<I>: da_agent.BasicAgent 3 BID 60: STATUS update_standing_bid"
1684270274.1755178	"<I>: STANDING = 60, 78"
1684270274.2478566	"<I>: da_agent.BasicAgent 1 BID 63: STATUS update_standing_bid"
1684270274.248055	"<I>: STANDING = 63, 78"
1684270274.5017576	"<I>: da_agent.BasicAgent 3 BID 344: STATUS contract"
1684270274.5019207	"<I>: CONTRACT = ('da_agent.BasicAgent 3', 'da_agent.BasicAgent 6', 78)"
1684270274.5020652	"<I>: RESET = 0, 1000"
1684270278.9260092	"<I>: da_agent.BasicAgent 1 BID 40: STATUS update_standing_bid"
1684270278.926152	"<I>: STANDING = 40, 1000"
1684270278.9281223	"<I>: da_agent.BasicAgent 5 ASK 493: STATUS update_standing_ask"
1684270278.928255	"<I>: STANDING = 40, 493"
1684270278.9302657	"<I>: da_agent.BasicAgent 6 ASK 351: STATUS update_standing_ask"
1684270278.9304128	"<I>: STANDING = 40, 351"
1684270279.1676102	"<I>: da_agent.BasicAgent 4 ASK 248: STATUS update_standing_ask"
1684270279.167765	"<I>: STANDING = 40, 248"
1684270279.1881263	"<I>: da_agent.BasicAgent 3 BID 70: STATUS update_standing_bid"
1684270279.188299	"<I>: STANDING = 70, 248"
1684270279.2589967	"<I>: da_agent.BasicAgent 1 BID 269: STATUS contract"
1684270279.2591817	"<I>: CONTRACT = ('da_agent.BasicAgent 1', 'da_agent.BasicAgent 4', 248)"
1684270279.259359	"<I>: RESET = 0, 1000"
1684270279.3810685	"<I>: da_agent.BasicAgent 4 ASK 526: STATUS update_standing_ask"
1684270279.3811946	"<I>: STANDING = 0, 526"
1684270279.4520588	"<I>: da_agent.BasicAgent 5 ASK 229: STATUS update_standing_ask"
1684270279.4521823	"<I>: STANDING = 0, 229"
1684270279.5085926	"<I>: da_agent.BasicAgent 6 ASK 155: STATUS update_standing_ask"
1684270279.5087273	"<I>: STANDING = 0, 155"
1684270279.5387151	"<I>: da_agent.BasicAgent 3 BID 78: STATUS update_standing_bid"
1684270279.5388753	"<I>: STANDING = 78, 155"
1684270283.950369	"<I>: da_agent.BasicAgent 6 ASK 150: STATUS update_standing_ask"
1684270283.9505055	"<I>: STANDING = 78, 150"
1684270284.203598	"<I>: da_agent.BasicAgent 3 BID 97: STATUS update_standing_bid"
1684270284.2037466	"<I>: STANDING = 97, 150"
1684270284.547993	"<I>: da_agent.BasicAgent 3 BID 98: STATUS update_standing_bid"
1684270284.5481474	"<I>: STANDING = 98, 150"
1684270289.2183864	"<I>: da_agent.BasicAgent 3 BID 100: STATUS update_standing_bid"
1684270289.218568	"<I>: STANDING = 100, 150"
1684270328.7439847	"<E>: CONTRACT 0: ('da_agent.BasicAgent 3', 'da_agent.BasicAgent 4', 354)"
